"title","Application déployée","Phase d'avancement","Statut","date Kick-off Interne","Code groupe DISE","Portail existant","date modelisation","date set up EWOCS/YODA","date set up MWM","date set up FUM par CDP","Renouvellement","date Formation Accès Interne","date Pilote Usage Interne","date Kick off Externe","application déployée","Chef de projet","date Formation Accès Externe","Nombres de lignes","date Pilote Usage Externe","date Vie de Solution","is archived"
"Thales","MWM","Formation Accès Interne","Stand by","2017-10-10","000740","","2017-06-06","","2017-07-20","2017-11-01","","2019-06-26","2019-09-09","","MWM","Christine Dodero","",18800,"","","True"
"Lagardère","MWM","En vie de solution","Terminé","2021-01-11","005067","","2021-01-29","","","2021-02-10","","","2021-03-03","2021-04-27","MWM","Hadrien Robin","2021-04-27",3200,"2021-04-27","2021-06-26","False"
"les mousquetaires","EWOCS, EWOCS","En vie de solution","Actif ","2017-10-26","704517","","2018-02-07","","2018-03-15","2018-03-21","","","","","EWOCS, EWOCS","","",8500,"","2020-05-01","True"
"Ministère de la justice","EWOCS","Pilote usage Externe","Stand by","2018-03-12","","","","","","2018-06-18","","2018-07-06","","","EWOCS","Elise Meffo","","","2018-07-02","","True"
"Les douanes ","EWOCS","En vie de solution","Actif ","2018-09-07","010307","","2018-09-21","2018-10-16","","","","2018-10-29","2018-10-29","2018-10-12","EWOCS","Christine Dodero","2018-10-22",5700,"2018-10-22","2021-03-30","False"
"technic atome","MWM","En vie de solution","Terminé","2018-10-16","010219","","2018-10-23","2018-11-01","2018-10-30","2018-11-12","","2019-02-08","2019-02-04","2019-01-21","MWM","Sandra Mokueto","2019-02-08",767,"2019-02-08","2019-09-30","False"
"Chanel ","MWM","","Terminé","","","","","","","","","","","","MWM","","",3069,"","","True"
"Indigo","MWM, MWM","En vie de solution","Terminé","2019-07-10","009278","","2019-07-11","","2019-08-19","2019-08-20","","2019-10-07","","2020-01-13","MWM, MWM","","2020-01-13",1600,"2020-01-20","2020-03-02","False"
"MGEN","EWOCS, EWOCS","Pilote usage Externe","Terminé","2019-06-13","004090","","","","2019-06-18","2019-06-21","Renouvellement","2019-05-31","2019-05-31","2019-06-14","EWOCS, EWOCS","Christine Dodero","2019-06-26",2283,"2019-07-01","","True"
"Casino","EWOCS, EWOCS","","Actif ","","000513","","","","","","Renouvellement","","","","EWOCS, EWOCS","","",9637,"","","True"
"Groupama","MWM, MWM","En vie de solution","Actif ","2020-02-21","7909","","2020-03-11","2020-04-15","2020-03-24","2020-04-27","","2020-05-12","2020-07-08","2020-07-22","MWM, MWM","Nathalie Marescot","2020-09-23",13523,"2020-11-04","2020-11-10","False"
"Mutuelle Générale","MWM","En vie de solution","Actif ","2020-03-02","001425","","2020-03-09","","","","Renouvellement","2020-05-27","2020-07-03","2020-06-05","MWM","Christine Cocrelle","",773,"","2021-04-01","False"
"Covea","","","","","","","","","","","Renouvellement","","","","","","","","","","True"
"CEA","EWOCS","","Terminé","","009791","","","","","","","","","","EWOCS","Sandra Mokueto","",7000,"","","True"
"PMU","","","","","","","","","","","","","","","","","","","","","True"
"VINCI ENERGIES","MWM, MWM","En vie de solution","Terminé","2021-02-01","9492","","2021-03-10","2021-03-17","2021-03-18","2021-03-31","Avenant","2021-05-27","2021-05-27","2021-07-05","MWM, MWM","Christine Dodero","2021-09-01","","2021-09-01","2022-01-31","False"
"Natixis - renouvellement","MWM","En vie de solution","Terminé","2019-07-01","008264","","2019-08-05","2019-08-06","2019-09-18","2019-09-17","Renouvellement","2019-09-19","2019-10-01","2019-10-17","MWM","Sandra Mokueto","2019-10-17",5100,"2019-10-17","2019-12-19","False"
"Plastic Omnium","MWM, MWM","En vie de solution","Terminé","2019-07-05","010732","","2019-07-24","2020-08-24","2019-08-30","2019-09-09","","2019-10-11","2019-09-18","2019-10-01","MWM, MWM","Christine Dodero","2019-10-18",1600,"2019-10-11","2020-09-17","False"
"EDF","","","Actif ","","","","","","","","","","","","","","","","","","True"
"Eiffage","MWM","","Actif ","","","","","","","","Renouvellement","","","","MWM","","","","","","True"
"Carrefour","MWM, MWM","Pilote usage Externe","Actif ","2020-09-02","001260","","2020-09-21","","","2020-11-03","","2021-05-11","2021-05-17","2020-10-29","MWM, MWM","Emilie Martin","2021-07-08",10000,"2021-11-23","","False"
"L'Oréal","MWM","","","","003411","","2019-07-16","","","","Renouvellement","","","","MWM","","",7000,"","","True"
"AXA","EWOCS","En vie de solution","","","007373;005423;B08550","","2021-02-24","","","","Renouvellement","","","","EWOCS","Christine Cocrelle","","","","","True"
"CHAM (EDF)","","","","","","","","","","","","","","","","","","","","","True"
"ADECCO","","","","","","","","","","","","","","","","","","","","","True"
"Crédit Mutuelle ARKEA","","","Actif ","","","","","","","","","","","","","","","","","","True"
"Vallourec","","","","","","","","","","","","","","","","","","","","","True"
"RATP Habitat","MWM, MWM","Pilote Usage Interne","Stand by","2020-11-20","010760","","2020-12-09","2020-12-23","2021-01-05","2021-01-20","","2021-01-22","2021-01-25","","MWM, MWM","Sébastien Yacono","",247,"","","True"
"Kering","EWOCS, EWOCS","En vie de solution","Terminé","2019-12-13","009950","","2019-12-23","","","","Renouvellement","","","2020-01-01","EWOCS, EWOCS","","",176,"","2020-01-01","False"
"DGA","","","Actif ","","","","","","","","","","","","","","","","","","True"
"Eutelsat","","","Actif ","","","","","","","","","","","","","","","","","","True"
"GFI","EWOCS","En vie de solution","Terminé","2019-08-06","000856","","","","","","Renouvellement","","","2019-09-03","EWOCS","","","","","2019-09-03","False"
"ARKEMA","EWOCS, EWOCS","En vie de solution","Terminé","2019-07-03","004177","","2019-07-03","","","","Renouvellement","","","2019-07-12","EWOCS, EWOCS","","",2240,"","2019-07-12","False"
"Le Sénat","MWM, MWM","En vie de solution","Terminé","2018-09-10","10386","","","","","","","","","2018-11-14","MWM, MWM","","",220,"2018-11-14","2019-01-18","False"
"SFEREN IMA","EWOCS, EWOCS","En vie de solution","Actif ","","9598; 8812","","","","","","","","","","EWOCS, EWOCS","","","","","2017-07-18","True"
"LVMH","EWOCS","En vie de solution","Terminé","","5797","","","","","","","","","","EWOCS","","","","","2017-02-28","True"
"ALD Societe Generale","MWM","En vie de solution","Actif ","","439","","","","","","","","","","MWM","","","","","2017-03-20","True"
"Arkema","EWOCS","En vie de solution","Actif ","","4177","","","","","","","","","","EWOCS","","","","","2017-04-11","True"
"Air France","EWOCS","En vie de solution","Terminé","","2541 / 8071 / 2541 / 6427 / 1308","","","","","","","","","","EWOCS","Christine Cocrelle","","","","2015-06-01","False"
"CMA","EWOCS, EWOCS","En vie de solution","Actif ","","2587","","","","","","","","","","EWOCS, EWOCS","","","","","2016-09-29","True"
"SNCF","EWOCS, EWOCS","En vie de solution","Terminé","","9974; 10396; 9121; 9017; 10232; 10877","","","","","","","","","","EWOCS, EWOCS","","","","2017-10-06","2017-10-06","False"
"PSA","EWOCS, EWOCS","En vie de solution","Actif ","","9169","","","","","","","","","","EWOCS, EWOCS","","","","","2016-12-01","True"
"MGEN","EWOCS, EWOCS","En vie de solution","Stand by","2019-04-30","004090","","","","","","","","","","EWOCS, EWOCS","Christine Dodero","",2715,"","2019-05-15","True"
"Kingfisher (castorama)","EWOCS","En vie de solution","Terminé","","1211","","","","","","Renouvellement","","","","EWOCS","","","","","2017-02-27","False"
